County Name,State Name,Confirmed,New,Death,Fatality Rate,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
King,Washington,328,0,32,9.8%,2020-03-14 12:04 EDT,53,033,38.77,8.460149600206345
Snohomish,Washington,133,0,4,3%,2020-03-14 12:04 EDT,53,061,9.98,13.326653306613226
Pierce,Washington,19,0,0,0%,2020-03-14 12:04 EDT,53,053,17.44,1.0894495412844036
Clark,Washington,3,0,0,0%,2020-03-14 12:04 EDT,53,011,3.43,0.8746355685131195
Kittitas,Washington,3,0,0,0%,2020-03-14 12:04 EDT,53,037,2.62,1.1450381679389312
Kitsap,Washington,3,0,0,0%,2020-03-14 12:04 EDT,53,035,9.3,0.3225806451612903
Skagit,Washington,3,0,0,0%,2020-03-14 12:04 EDT,53,057,1.63,1.8404907975460123
Island,Washington,3,0,0,0%,2020-03-14 12:04 EDT,53,029,1.94,1.5463917525773196
Whatcom,Washington,2,0,0,0%,2020-03-14 12:04 EDT,53,073,5.72,0.3496503496503497
Yakima,Washington,2,0,0,0%,2020-03-14 12:04 EDT,53,077,3.51,0.5698005698005698
Grant,Washington,1,0,1,100%,2020-03-14 12:04 EDT,53,025,1.23,0.8130081300813008
Jefferson,Washington,1,0,0,0%,2020-03-14 12:04 EDT,53,031,0.63,1.5873015873015872
Thurston,Washington,1,0,0,0%,2020-03-14 12:04 EDT,53,067,4.1,0.24390243902439027
Grays Harbor,Washington,1,0,0,0%,2020-03-14 12:04 EDT,53,027,2.7,0.37037037037037035
Columbia,Washington,1,0,0,0%,2020-03-14 12:04 EDT,53,013,0.08,12.5
Westchester,New York,158,0,0,0%,2020-03-14 12:04 EDT,36,119,27.97,5.648909545942081
New York,New York,154,0,1,0.6%,2020-03-14 12:04 EDT,36,061,68.02,2.2640399882387534
Nassau,New York,51,0,0,0%,2020-03-14 12:04 EDT,36,059,20.48,2.490234375
Suffolk,New York,28,0,0,0%,2020-03-14 12:04 EDT,36,103,29.24,0.957592339261286
Rockland,New York,9,0,0,0%,2020-03-14 12:04 EDT,36,087,6.95,1.2949640287769784
Ulster,New York,5,0,0,0%,2020-03-14 12:04 EDT,36,111,11.82,0.4230118443316413
Albany,New York,4,0,0,0%,2020-03-14 12:04 EDT,36,001,17.58,0.22753128555176338
Saratoga,New York,3,0,0,0%,2020-03-14 12:04 EDT,36,091,3.4,0.8823529411764706
Orange,New York,3,0,0,0%,2020-03-14 12:04 EDT,36,071,11.27,0.26619343389529726
Dutchess,New York,3,0,0,0%,2020-03-14 12:04 EDT,36,027,19.66,0.1525940996948118
Monroe,New York,2,0,0,0%,2020-03-14 12:04 EDT,36,055,25.92,0.07716049382716049
Delaware,New York,1,0,0,0%,2020-03-14 12:04 EDT,36,025,2.41,0.41493775933609955
Herkimer,New York,1,0,0,0%,2020-03-14 12:04 EDT,36,043,1.4,0.7142857142857143
Schenectady,New York,1,0,0,0%,2020-03-14 12:04 EDT,36,093,4.58,0.2183406113537118
Broome,New York,1,0,0,0%,2020-03-14 12:04 EDT,36,007,10.92,0.09157509157509157
Santa Clara,California,79,0,2,2.5%,2020-03-14 12:04 EDT,06,085,30.98,2.5500322788896064
Los Angeles,California,40,0,1,2.5%,2020-03-14 12:04 EDT,06,037,178.33,0.2243032580048225
San Mateo,California,26,6,0,0%,2020-03-14 12:04 EDT,06,081,8.82,2.947845804988662
Contra Costa,California,25,0,0,0%,2020-03-14 12:04 EDT,06,013,10.61,2.35626767200754
San Francisco,California,23,0,0,0%,2020-03-14 12:04 EDT,06,075,24.24,0.948844884488449
Sacramento,California,17,0,1,5.9%,2020-03-14 12:04 EDT,06,067,22.16,0.7671480144404332
Orange,California,13,0,0,0%,2020-03-14 12:04 EDT,06,059,44.93,0.2893389717338081
Riverside,California,12,0,0,0%,2020-03-14 12:04 EDT,06,065,33.32,0.36014405762304924
Alameda,California,11,0,0,0%,2020-03-14 12:04 EDT,06,001,36.42,0.3020318506315211
San Diego,California,8,0,0,0%,2020-03-14 12:04 EDT,06,073,108.14,0.07397817643795081
San Joaquin,California,8,0,0,0%,2020-03-14 12:04 EDT,06,077,15.02,0.5326231691078562
Santa Cruz,California,7,0,0,0%,2020-03-14 12:04 EDT,06,087,14.05,0.49822064056939497
Solano,California,6,0,0,0%,2020-03-14 12:04 EDT,06,095,11.4,0.5263157894736842
Ventura,California,5,0,0,0%,2020-03-14 12:04 EDT,06,111,11.37,0.43975373790677225
Placer,California,4,0,1,25%,2020-03-14 12:04 EDT,06,061,3.96,1.0101010101010102
San Benito,California,3,0,0,0%,2020-03-14 12:04 EDT,06,069,0.29,10.344827586206897
Marin,California,3,0,0,0%,2020-03-14 12:04 EDT,06,041,8.22,0.36496350364963503
Yolo,California,2,0,0,0%,2020-03-14 12:04 EDT,06,113,10.17,0.19665683382497542
Calaveras,California,2,0,0,0%,2020-03-14 12:04 EDT,06,009,0.49,4.081632653061225
Stanislaus,California,2,0,0,0%,2020-03-14 12:04 EDT,06,099,6.46,0.30959752321981426
Tulare,California,2,0,0,0%,2020-03-14 12:04 EDT,06,107,5.05,0.39603960396039606
Imperial,California,2,0,0,0%,2020-03-14 12:04 EDT,06,025,9.05,0.22099447513812154
Humboldt,California,1,0,0,0%,2020-03-14 12:04 EDT,06,023,5.55,0.1801801801801802
Sonoma,California,1,0,0,0%,2020-03-14 12:04 EDT,06,097,10.92,0.09157509157509157
Madera,California,1,0,0,0%,2020-03-14 12:04 EDT,06,039,7.91,0.1264222503160556
Fresno,California,1,0,0,0%,2020-03-14 12:04 EDT,06,019,16.96,0.05896226415094339
Shasta,California,1,0,0,0%,2020-03-14 12:04 EDT,06,089,2.83,0.35335689045936397
Middlesex,Massachusetts,60,0,0,0%,2020-03-14 12:04 EDT,25,017,56.81,1.0561520859003697
Suffolk,Massachusetts,26,0,0,0%,2020-03-14 12:04 EDT,25,025,50.68,0.5130228887134964
Norfolk,Massachusetts,24,0,0,0%,2020-03-14 12:04 EDT,25,021,17.05,1.407624633431085
Berkshire,Massachusetts,9,0,0,0%,2020-03-14 12:04 EDT,25,003,5.89,1.5280135823429541
Worcester,Massachusetts,2,0,0,0%,2020-03-14 12:04 EDT,25,027,28.28,0.07072135785007072
Essex,Massachusetts,2,0,0,0%,2020-03-14 12:04 EDT,25,009,19.53,0.10240655401945724
Eagle,Colorado,16,0,0,0%,2020-03-14 12:04 EDT,08,037,0.08,200.0
Denver,Colorado,15,0,0,0%,2020-03-14 12:04 EDT,08,031,16.31,0.9196811771919069
Pitkin,Colorado,10,0,0,0%,2020-03-14 12:04 EDT,08,097,0.07,142.85714285714283
Arapahoe,Colorado,7,0,0,0%,2020-03-14 12:04 EDT,08,005,4.3,1.627906976744186
Jefferson,Colorado,7,0,0,0%,2020-03-14 12:04 EDT,08,059,8.76,0.7990867579908676
Douglas,Colorado,4,0,0,0%,2020-03-14 12:04 EDT,08,035,0.63,6.349206349206349
Gunnison,Colorado,4,0,0,0%,2020-03-14 12:04 EDT,08,051,1.1,3.6363636363636362
Adams,Colorado,3,0,0,0%,2020-03-14 12:04 EDT,08,001,4.46,0.672645739910314
