County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,3954,2083,26,0.7%,40.71455,-74.00714,2020-03-19 23:11 EDT,36,061,68.02,58.12996177594825
Westchester,New York,798,260,0,0%,41.16319759,-73.7560629,2020-03-19 23:11 EDT,36,119,27.97,28.5305684662138
Nassau,New York,372,94,3,0.8%,40.74165225,-73.58899619,2020-03-19 23:11 EDT,36,059,20.48,18.1640625
Suffolk,New York,239,87,3,1.3%,40.87732808,-72.85898036,2020-03-19 23:11 EDT,36,103,29.24,8.17373461012312
Rockland,New York,53,22,1,1.9%,41.152374,-74.02401032,2020-03-19 23:11 EDT,36,087,6.95,7.625899280575539
Orange,New York,51,19,0,0%,41.40206825,-74.30559567,2020-03-19 23:11 EDT,36,071,11.27,4.525288376220053
Albany,New York,43,7,0,0%,42.65155,-73.75520999999998,2020-03-19 23:11 EDT,36,001,17.58,2.4459613196814565
Dutchess,New York,31,11,0,0%,41.76477515,-73.74281684,2020-03-19 23:11 EDT,36,027,19.66,1.5768056968463886
Monroe,New York,30,8,1,3.3%,43.14604282,-77.69674911,2020-03-19 23:11 EDT,36,055,25.92,1.1574074074074074
Erie,New York,28,1,0,0%,42.76382119,-78.73224973,2020-03-19 23:11 EDT,36,029,27.67,1.0119262739428985
Saratoga,New York,21,7,0,0%,43.06974,-73.63661,2020-03-19 23:11 EDT,36,091,3.4,6.176470588235294
Schenectady,New York,14,0,0,0%,42.81238,-73.94122,2020-03-19 23:11 EDT,36,093,4.58,3.056768558951965
Ulster,New York,9,0,0,0%,41.95986,-73.99033,2020-03-19 23:11 EDT,36,111,11.82,0.7614213197969543
Onondaga,New York,7,1,0,0%,43.004870000000004,-76.1836,2020-03-19 23:11 EDT,36,067,17.03,0.41103934233705225
Tompkins,New York,6,0,0,0%,42.44933495,-76.47064359,2020-03-19 23:11 EDT,36,109,13.09,0.4583651642475172
Putnam,New York,5,3,0,0%,41.42653455,-73.7494999,2020-03-19 23:11 EDT,36,079,2.58,1.937984496124031
Rensselaer,New York,4,0,0,0%,42.71086263,-73.5097379,2020-03-19 23:11 EDT,36,083,5.87,0.6814310051107325
Niagara,New York,4,3,0,0%,43.19998147,-78.74522262,2020-03-19 23:11 EDT,36,063,3.99,1.0025062656641603
Greene,New York,2,0,0,0%,42.27654571,-74.12261588,2020-03-19 23:11 EDT,36,039,3.21,0.6230529595015576
Montgomery,New York,2,0,0,0%,42.90229179999999,-74.43960085,2020-03-19 23:11 EDT,36,057,0.92,2.1739130434782608
Allegany,New York,2,0,0,0%,42.25739788,-78.02755444,2020-03-19 23:11 EDT,36,003,4.27,0.468384074941452
Oneida,New York,2,0,0,0%,43.24306498,-75.42583597,2020-03-19 23:11 EDT,36,065,13.15,0.1520912547528517
Wyoming,New York,2,1,0,0%,42.70242659,-78.22443261,2020-03-19 23:11 EDT,36,121,3.42,0.5847953216374269
Delaware,New York,1,0,0,0%,42.19804334,-74.96635196,2020-03-19 23:11 EDT,36,025,2.41,0.41493775933609955
Herkimer,New York,1,0,0,0%,43.0259,-74.98433,2020-03-19 23:11 EDT,36,043,1.4,0.7142857142857143
Broome,New York,1,0,0,0%,42.16021802,-75.81964586,2020-03-19 23:11 EDT,36,007,10.92,0.09157509157509157
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-19 23:11 EDT,36,107,0.52,1.923076923076923
Ontario,New York,1,0,0,0%,42.85288942,-77.29981098,2020-03-19 23:11 EDT,36,069,3.24,0.30864197530864196
Clinton,New York,1,0,0,0%,44.7904,-73.6006,2020-03-19 23:11 EDT,36,019,6.64,0.15060240963855423
Essex,New York,1,0,0,0%,44.10755697,-73.79125847,2020-03-19 23:11 EDT,36,031,2.1,0.47619047619047616
Sullivan,New York,1,0,0,0%,41.71631354,-74.76811083,2020-03-19 23:11 EDT,36,105,3.79,0.2638522427440633
Genesee,New York,1,0,0,0%,43.00094016,-78.1936949,2020-03-19 23:11 EDT,36,037,1.95,0.5128205128205129
Warren,New York,1,0,0,0%,43.5592099,-73.85881158,2020-03-19 23:11 EDT,36,113,0.64,1.5625
Washington,New York,1,0,0,0%,43.31227113,-73.43096234,2020-03-19 23:11 EDT,36,115,3.07,0.32573289902280134
Hamilton,New York,1,0,0,0%,43.66130373,-74.49733573,2020-03-19 23:11 EDT,36,041,0.08,12.5
Chenango,New York,1,0,0,0%,42.49349443,-75.61153709999998,2020-03-19 23:11 EDT,36,017,0.75,1.3333333333333333
Schoharie,New York,1,0,0,0%,42.58820746,-74.44213588,2020-03-19 23:11 EDT,36,095,1.27,0.7874015748031495
King,Washington,693,131,60,8.7%,47.49011813,-121.8043324,2020-03-19 23:11 EDT,53,033,38.77,17.874645344338404
Snohomish,Washington,348,38,7,2%,47.9124,-122.09306000000001,2020-03-19 23:11 EDT,53,061,9.98,34.86973947895792
Pierce,Washington,75,19,1,1.3%,47.02270813,-122.1014408,2020-03-19 23:11 EDT,53,053,17.44,4.30045871559633
Skagit,Washington,18,0,0,0%,48.47933023,-121.72808020000001,2020-03-19 23:11 EDT,53,057,1.63,11.042944785276074
Island,Washington,17,1,1,5.9%,48.19160936,-122.6650075,2020-03-19 23:11 EDT,53,029,1.94,8.762886597938145
