County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,51809,4370,1562,1562,3.0%,40.71455,-74.00714,2020-04-02 22:55 EDT,36,500,8443.713,6.135807789772106
Westchester,New York,11567,884,67,67,0.6%,41.16319759,-73.7560629,2020-04-02 22:55 EDT,36,119,968.815,11.939327941867125
Nassau,New York,10587,1033,95,95,0.9%,40.74165225,-73.58899619,2020-04-02 22:55 EDT,36,059,1356.564,7.804276097552346
Suffolk,New York,8746,1141,84,84,1.0%,40.87732808,-72.85898036,2020-04-02 22:55 EDT,36,103,1487.901,5.878079253928856
Rockland,New York,3751,430,42,42,1.1%,41.152374,-74.02401032,2020-04-02 22:55 EDT,36,087,323.686,11.588391218650175
Orange,New York,2048,292,30,30,1.5%,41.40206825,-74.30559567,2020-04-02 22:55 EDT,36,071,378.227,5.414737710422577
Erie,New York,734,131,19,19,2.6%,42.76382119,-78.73224973,2020-04-02 22:55 EDT,36,029,919.866,0.7979423089884831
Dutchess,New York,667,120,5,5,0.7%,41.76477515,-73.74281684,2020-04-02 22:55 EDT,36,027,293.894,2.2695257473783066
Monroe,New York,420,61,9,9,2.1%,43.14604282,-77.69674911,2020-04-02 22:55 EDT,36,055,744.248,0.5643280196923606
Onondaga,New York,301,24,2,2,0.7%,43.00487,-76.1836,2020-04-02 22:55 EDT,36,067,464.242,0.6483687387181686
Albany,New York,253,13,2,2,0.8%,42.65155,-73.75520999999998,2020-04-02 22:55 EDT,36,001,307.426,0.8229622738480155
Ulster,New York,243,21,3,3,1.2%,41.95986,-73.99033,2020-04-02 22:55 EDT,36,111,179.303,1.3552478207280414
Putnam,New York,216,3,7,7,3.2%,41.42653455,-73.7494999,2020-04-02 22:55 EDT,36,079,99.070,2.180276572120723
Sullivan,New York,156,15,5,5,3.2%,41.71631354,-74.76811083,2020-04-02 22:55 EDT,36,105,75.211,2.0741646833574876
Saratoga,New York,132,1,1,1,0.8%,43.06974,-73.63661,2020-04-02 22:55 EDT,36,091,227.377,0.5805336511608474
Schenectady,New York,101,8,1,1,1.0%,42.81238,-73.94122,2020-04-02 22:55 EDT,36,093,154.883,0.6521051374263154
Niagara,New York,91,45,0,0,0.0%,43.19998147,-78.74522262,2020-04-02 22:55 EDT,36,063,211.704,0.42984544458300267
