County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,160215,4621,16919,254,10.6%,0,0,40.71455,-74.00714,2020-04-25 22:55 EDT,36,500,8443.713,18.974472486215483
Nassau,New York,33798,1033,1558,40,4.6%,2353,0,40.74165225,-73.58899619,2020-04-25 22:55 EDT,36,059,1356.564,24.914416127805254
Suffolk,New York,31368,74,1042,49,3.3%,2244,0,40.87732808,-72.85898036,2020-04-25 22:55 EDT,36,103,1487.901,21.082047797534916
Westchester,New York,27231,598,920,29,3.4%,9371,0,41.16319759,-73.7560629,2020-04-25 22:55 EDT,36,119,968.815,28.107533430015017
Rockland,New York,11091,1000,453,0,4.1%,0,0,41.152374,-74.02401032,2020-04-25 22:55 EDT,36,087,323.686,34.264688617981626
Orange,New York,7973,203,274,0,3.4%,0,0,41.40206825,-74.30559567,2020-04-25 22:55 EDT,36,071,378.227,21.079933479101175
Erie,New York,2773,35,198,0,7.1%,479,0,42.76382119,-78.73224973,2020-04-25 22:55 EDT,36,029,919.866,3.014569513385645
Dutchess,New York,2660,143,35,0,1.3%,438,0,41.76477515,-73.74281684,2020-04-25 22:55 EDT,36,027,293.894,9.050882290893995
Monroe,New York,1285,68,96,0,7.5%,697,0,43.14604282,-77.69674911,2020-04-25 22:55 EDT,36,055,744.248,1.7265750126301984
Ulster,New York,1166,23,23,0,2%,161,0,41.95986,-73.99033,2020-04-25 22:55 EDT,36,111,179.303,6.5029586788843465
Putnam,New York,942,0,7,0,0.7%,0,0,41.42653455,-73.7494999,2020-04-25 22:55 EDT,36,079,99.070,9.50842838397093
Albany,New York,899,94,31,0,3.4%,0,0,42.65155,-73.75520999999998,2020-04-25 22:55 EDT,36,001,307.426,2.924280965175359
Onondaga,New York,746,0,25,0,3.4%,485,0,43.00487,-76.1836,2020-04-25 22:55 EDT,36,067,464.242,1.6069205285174544
Sullivan,New York,689,20,17,0,2.5%,374,0,41.71631354,-74.76811083,2020-04-25 22:55 EDT,36,105,75.211,9.160894018162237
Schenectady,New York,431,41,15,0,3.5%,208,0,42.81238,-73.94122,2020-04-25 22:55 EDT,36,093,154.883,2.7827456854528907
Oneida,New York,364,28,11,0,3%,127,0,43.24306498,-75.42583597,2020-04-25 22:55 EDT,36,065,230.782,1.577246059051399
Niagara,New York,359,0,21,0,5.8%,175,0,43.19998147,-78.74522262,2020-04-25 22:55 EDT,36,063,211.704,1.695763896761516
Saratoga,New York,320,12,11,0,3.4%,121,0,43.06974,-73.63661,2020-04-25 22:55 EDT,36,091,227.377,1.4073543058444784
Broome,New York,251,19,17,0,6.8%,89,0,42.16021802,-75.81964586,2020-04-25 22:55 EDT,36,007,194.402,1.2911389800516455
Rensselaer,New York,227,0,11,0,4.8%,113,0,42.71086263,-73.5097379,2020-04-25 22:55 EDT,36,083,159.431,1.4238134365336728
Steuben,New York,217,0,33,0,15.2%,104,0,42.26782685,-77.38382596,2020-04-25 22:55 EDT,36,101,96.927,2.2387982708636396
St. Lawrence,New York,162,0,0,0,0%,0,0,44.17727,-76.16771999999997,2020-04-25 22:55 EDT,36,089,109.558,1.4786688329469324
Columbia,New York,142,0,13,0,9.2%,72,0,42.25001078,-73.63186134,2020-04-25 22:55 EDT,36,021,60.919,2.3309640670398397
Genesee,New York,142,0,3,0,2.1%,69,0,43.00094016,-78.1936949,2020-04-25 22:55 EDT,36,037,58.112,2.443557268722467
Warren,New York,132,10,0,0,0%,0,0,43.5592099,-73.85881158,2020-04-25 22:55 EDT,36,113,64.480,2.0471464019851116
Tompkins,New York,129,0,0,0,0%,94,0,42.44933495,-76.47064359,2020-04-25 22:55 EDT,36,109,102.962,1.2528894155125192
Madison,New York,127,0,5,0,3.9%,107,0,42.91290749,-75.66978904,2020-04-25 22:55 EDT,36,053,71.359,1.7797334603904205
Greene,New York,116,0,5,0,4.3%,61,0,42.27654571,-74.12261588,2020-04-25 22:55 EDT,36,039,47.617,2.4361047525043578
Washington,New York,113,28,2,0,1.8%,43,0,43.31227113,-73.43096234,2020-04-25 22:55 EDT,36,115,61.828,1.82765090250372
Chemung,New York,103,24,1,0,1%,10,0,42.1411881,-76.76001059999999,2020-04-25 22:55 EDT,36,015,85.740,1.2013062747842316
Chenango,New York,91,7,0,0,0%,0,0,42.49349443,-75.61153709999998,2020-04-25 22:55 EDT,36,017,48.348,1.8821874741457765
Tioga,New York,89,0,5,0,5.6%,21,0,42.06057,-76.34519,2020-04-25 22:55 EDT,36,107,49.045,1.8146600061168314
Ontario,New York,86,0,9,0,10.5%,47,0,42.85288942,-77.29981098,2020-04-25 22:55 EDT,36,069,109.472,0.7855890090616778
Orleans,New York,75,0,7,0,9.3%,22,0,43.252100586000005,-78.23124678499991,2020-04-25 22:55 EDT,36,073,41.175,1.8214936247723135
Delaware,New York,65,0,4,0,6.2%,32,0,42.19804334,-74.96635196,2020-04-25 22:55 EDT,36,025,45.502,1.4285086369829898
Wayne,New York,65,4,0,0,0%,35,0,42.474131,-77.09816,2020-04-25 22:55 EDT,36,117,90.856,0.7154178039975345
Fulton,New York,61,32,0,0,0%,0,0,43.11240266,-74.43516277,2020-04-25 22:55 EDT,36,035,53.743,1.1350315389911243
Clinton,New York,60,0,4,0,6.7%,44,0,44.7904,-73.6006,2020-04-25 22:55 EDT,36,019,80.794,0.742629403173503
Otsego,New York,60,10,4,0,6.7%,31,0,42.63373751,-75.03256231,2020-04-25 22:55 EDT,36,077,60.244,0.9959498041298719
Jefferson,New York,59,1,0,0,0%,9,0,44.04103424,-75.91225529,2020-04-25 22:55 EDT,36,045,114.448,0.5155179644904236
Livingston,New York,58,1,5,0,8.6%,30,0,42.72808354,-77.77543855,2020-04-25 22:55 EDT,36,051,63.907,0.9075688109283804
Oswego,New York,58,0,2,0,3.4%,46,0,43.4365257,-76.14924403,2020-04-25 22:55 EDT,36,075,119.104,0.4869693713057496
Wyoming,New York,58,0,5,0,8.6%,31,0,42.70242659,-78.22443261,2020-04-25 22:55 EDT,36,121,40.565,1.4298040182423273
Herkimer,New York,56,0,3,0,5.4%,0,0,43.0259,-74.98433,2020-04-25 22:55 EDT,36,043,62.505,0.8959283257339412
Cayuga,New York,47,0,1,0,2.1%,42,0,42.92145204,-76.54917489,2020-04-25 22:55 EDT,36,011,77.868,0.6035855550418657
Montgomery,New York,47,0,1,0,2.1%,33,0,42.90229179999999,-74.43960085,2020-04-25 22:55 EDT,36,057,49.426,0.9509165216687573
Cattaraugus,New York,45,6,0,0,0%,0,0,42.2485958350001,-78.678812022,2020-04-25 22:55 EDT,36,009,77.686,0.5792549494117344
Seneca,New York,36,18,0,0,0%,0,0,42.790068356999996,-76.822922724,2020-04-25 22:55 EDT,36,099,34.612,1.040101698832775
Allegany,New York,35,3,2,0,5.7%,27,0,42.25739788,-78.02755444,2020-04-25 22:55 EDT,36,003,47.025,0.7442849548112707
Schoharie,New York,33,12,0,0,0%,0,0,42.58820746,-74.44213588,2020-04-25 22:55 EDT,36,095,31.364,1.0521617140670834
Cortland,New York,32,0,0,0,0%,29,0,42.59500111,-76.07023743,2020-04-25 22:55 EDT,36,023,48.123,0.6649626997485609
Chautauqua,New York,29,0,3,0,10.3%,24,0,42.22826274,-79.36643298,2020-04-25 22:55 EDT,36,013,129.656,0.2236687850928611
Essex,New York,24,2,0,0,0%,8,0,44.10755697,-73.79125847,2020-04-25 22:55 EDT,36,031,37.751,0.635744748483484
Yates,New York,16,5,1,0,6.3%,2,0,42.633345773,-77.11807677899999,2020-04-25 22:55 EDT,36,123,25.009,0.6397696829141509
Franklin,New York,14,1,0,0,0%,4,0,44.592675381999996,-74.3034218499999,2020-04-25 22:55 EDT,36,033,50.692,0.27617770062337255
Lewis,New York,9,0,0,0,0%,5,0,43.78473386600009,-75.448706117,2020-04-25 22:55 EDT,36,049,26.719,0.33683895355365095
Schuyler,New York,8,0,0,0,0%,6,0,42.370638971999995,-76.9851275,2020-04-25 22:55 EDT,36,097,17.992,0.4446420631391729
Hamilton,New York,3,0,0,0,0%,0,0,43.66130373,-74.49733573,2020-04-25 22:55 EDT,36,041,4.575,0.6557377049180327
Bergen,New Jersey,14738,375,954,20,6.5%,0,0,40.95949149,-74.074442,2020-04-25 22:55 EDT,34,003,929.999,15.847328868095559
Hudson,New Jersey,13367,356,706,0,5.3%,314,0,40.74034231,-74.07410970000002,2020-04-25 22:55 EDT,34,017,668.631,19.991594766021915
Essex,New Jersey,12520,410,1019,44,8.1%,60,0,40.78779259,-74.24760059,2020-04-25 22:55 EDT,34,013,793.555,15.777104296488588
Union,New Jersey,11523,315,563,21,4.9%,151,0,40.69635,-74.26957,2020-04-25 22:55 EDT,34,039,553.066,20.834764747787787
Passaic,New Jersey,10738,447,416,33,3.9%,0,0,40.86034,-74.12374,2020-04-25 22:55 EDT,34,031,504.041,21.30382250650245
Middlesex,New Jersey,10075,286,431,18,4.3%,0,0,40.57936,-74.50067,2020-04-25 22:55 EDT,34,023,826.698,12.187038071944048
Ocean,New Jersey,5811,199,317,16,5.5%,0,0,39.90927434,-74.2969653,2020-04-25 22:55 EDT,34,029,591.939,9.816889916021752
Monmouth,New Jersey,5521,153,287,14,5.2%,0,0,40.2600411,-74.22194634,2020-04-25 22:55 EDT,34,025,623.387,8.85645674356379
Morris,New Jersey,4821,105,347,7,7.2%,1,0,40.86201902,-74.5442741,2020-04-25 22:55 EDT,34,027,494.383,9.751548900346492
Mercer,New Jersey,3245,159,183,5,5.6%,12,0,40.28331911,-74.70157374,2020-04-25 22:55 EDT,34,021,368.762,8.799713636437595
Somerset,New Jersey,3030,109,219,21,7.2%,0,0,40.49859,-74.52249,2020-04-25 22:55 EDT,34,035,330.176,9.176923822446211
Camden,New Jersey,2870,120,118,12,4.1%,0,0,39.94525,-75.11913,2020-04-25 22:55 EDT,34,007,507.367,5.65665484747727
Burlington,New Jersey,2153,99,88,7,4.1%,0,0,40.07687,-74.85775,2020-04-25 22:55 EDT,34,005,446.367,4.823385241292479
Gloucester,New Jersey,949,26,30,0,3.2%,0,0,39.71720107,-75.14164366,2020-04-25 22:55 EDT,34,015,290.852,3.26282782996163
Sussex,New Jersey,812,17,91,7,11.2%,0,0,41.13934496,-74.69067762,2020-04-25 22:55 EDT,34,037,142.298,5.7063345935993475
Warren,New Jersey,750,21,63,2,8.4%,76,0,40.85732358,-74.997063,2020-04-25 22:55 EDT,34,041,106.293,7.055967937681691
Atlantic,New Jersey,596,30,29,0,4.9%,71,0,39.4806564,-74.67264306,2020-04-25 22:55 EDT,34,001,268.539,2.219416918957768
Hunterdon,New Jersey,505,15,23,1,4.6%,0,0,40.56725317,-74.91217921,2020-04-25 22:55 EDT,34,019,125.051,4.0383523522402855
Cumberland,New Jersey,504,38,6,1,1.2%,0,0,39.37311491,-75.11061925,2020-04-25 22:55 EDT,34,011,153.400,3.285528031290743
Cape May,New Jersey,261,14,18,2,6.9%,45,0,38.93547,-74.92137,2020-04-25 22:55 EDT,34,009,93.705,2.785336961741636
Salem,New Jersey,177,8,6,0,3.4%,0,0,39.57661332,-75.35810746,2020-04-25 22:55 EDT,34,033,63.336,2.7946191739295183
Middlesex,Massachusetts,12253,572,629,201,5.1%,147,0,42.48559407,-71.3917913,2020-04-25 22:55 EDT,25,017,1595.192,7.681207027116485
Suffolk,Massachusetts,11218,494,391,106,3.5%,926,0,42.33189157,-71.07537429,2020-04-25 22:55 EDT,25,025,791.766,14.168327510905998
Essex,Massachusetts,7212,371,336,91,4.7%,0,0,42.63251,-70.78113,2020-04-25 22:55 EDT,25,009,781.024,9.234031220551483
Norfolk,Massachusetts,5172,193,400,110,7.7%,218,0,42.11941,-71.33083,2020-04-25 22:55 EDT,25,021,698.249,7.407099759541368
Worcester,Massachusetts,4460,233,183,50,4.1%,8,0,42.26341,-71.80219,2020-04-25 22:55 EDT,25,027,822.280,5.4239431823709685
Plymouth,Massachusetts,4380,220,212,71,4.8%,0,0,41.92808,-70.6568,2020-04-25 22:55 EDT,25,023,512.135,8.55243246409638
Hampden,Massachusetts,3229,169,315,71,9.8%,0,0,42.064613,-72.422,2020-04-25 22:55 EDT,25,013,469.116,6.883158962815167
Bristol,Massachusetts,2829,132,130,34,4.6%,0,0,41.79836956,-71.11428121,2020-04-25 22:55 EDT,25,005,558.905,5.0616831125146495
Barnstable,Massachusetts,756,9,37,15,4.9%,0,0,41.70194,-70.30442,2020-04-25 22:55 EDT,25,001,213.690,3.537835181805419
Berkshire,Massachusetts,425,0,31,2,7.3%,0,0,42.51105,-73.19426,2020-04-25 22:55 EDT,25,003,127.328,3.337836139733602
Hampshire,Massachusetts,412,16,20,10,4.9%,0,0,42.3402715,-72.66940388,2020-04-25 22:55 EDT,25,015,161.159,2.5564814872269004
Franklin,Massachusetts,225,8,32,3,14.2%,0,0,42.58654867,-72.59777313,2020-04-25 22:55 EDT,25,011,70.935,3.171917953055614
Los Angeles,California,19159,614,896,46,4.7%,232,0,34.053490000000004,-118.24532,2020-04-25 22:55 EDT,06,037,10098.052,1.897296627111843
Riverside,California,3409,94,117,5,3.4%,700,0,33.98171,-117.37404,2020-04-25 22:55 EDT,06,065,2383.286,1.4303780578579322
San Diego,California,2943,117,111,9,3.8%,1138,0,32.71568,-117.16171,2020-04-25 22:55 EDT,06,073,3302.833,0.8910532261243604
Santa Clara,California,2040,22,99,1,4.9%,1,0,37.35579,-121.95508999999998,2020-04-25 22:55 EDT,06,085,1922.200,1.0612839454791385
Orange,California,1969,124,38,2,1.9%,0,0,33.78787,-117.85071,2020-04-25 22:55 EDT,06,059,3164.182,0.6222777324439618
San Bernardino,California,1732,66,82,2,4.7%,0,0,34.10524,-117.29412,2020-04-25 22:55 EDT,06,071,2135.413,0.8110843195203925
Alameda,California,1439,36,52,4,3.6%,0,0,37.76683,-122.2453,2020-04-25 22:55 EDT,06,001,1643.700,0.8754638924377928
San Francisco,California,1354,14,22,0,1.6%,0,0,37.77712,-122.41964,2020-04-25 22:55 EDT,06,075,870.044,1.5562431325312283
Sacramento,California,1025,6,41,0,4%,0,0,38.57944000000001,-121.49085,2020-04-25 22:55 EDT,06,067,1510.023,0.678797607718558
San Mateo,California,1019,30,41,0,4%,0,0,37.54704,-122.31485,2020-04-25 22:55 EDT,06,081,765.935,1.3304000992251301
Contra Costa,California,805,19,25,2,3.1%,0,0,37.91793732,-121.9259354,2020-04-25 22:55 EDT,06,013,1133.247,0.7103482294680683
Kern,California,755,20,4,0,0.5%,234,0,35.34281638,-118.7299395,2020-04-25 22:55 EDT,06,029,883.053,0.8549883189344241
San Joaquin,California,507,12,25,1,4.9%,0,0,37.93479557,-121.2713112,2020-04-25 22:55 EDT,06,077,732.212,0.692422413180882
Tulare,California,491,19,32,4,6.5%,55,0,36.20649,-119.34305,2020-04-25 22:55 EDT,06,107,460.477,1.0662856125278788
Ventura,California,476,0,16,0,3.4%,222,0,34.28082,-119.29232,2020-04-25 22:55 EDT,06,111,848.112,0.561246627803875
Santa Barbara,California,469,9,7,1,1.5%,169,0,34.41938,-119.69905,2020-04-25 22:55 EDT,06,083,443.738,1.0569299902194538
Fresno,California,458,15,7,0,1.5%,85,0,36.74084000000001,-119.78552,2020-04-25 22:55 EDT,06,019,978.130,0.4682404179403556
Stanislaus,California,286,22,5,0,1.7%,94,0,37.55932622,-120.9976619,2020-04-25 22:55 EDT,06,099,539.301,0.5303160943517629
Imperial,California,251,0,8,0,3.2%,67,0,32.84748,-115.56952,2020-04-25 22:55 EDT,06,025,180.216,1.3927731167043993
Marin,California,223,11,12,0,5.4%,0,0,38.07188727,-122.7195348,2020-04-25 22:55 EDT,06,041,260.295,0.8567202597053343
Sonoma,California,217,0,2,0,0.9%,109,0,38.29188,-122.45728,2020-04-25 22:55 EDT,06,097,501.317,0.4328598471625738
Solano,California,199,0,4,0,2%,143,0,38.27793363,-121.9272405,2020-04-25 22:55 EDT,06,095,438.530,0.4537887943812282
Monterey,California,169,0,4,0,2.4%,24,0,36.21714603,-121.2390196,2020-04-25 22:55 EDT,06,053,433.212,0.3901092305845637
San Luis Obispo,California,165,2,1,0,0.6%,111,0,35.28579000000001,-120.66275,2020-04-25 22:55 EDT,06,079,281.455,0.5862393633085218
Yolo,California,158,1,13,0,8.2%,0,0,38.73431,-121.81279,2020-04-25 22:55 EDT,06,113,214.977,0.7349623448089796
Placer,California,139,0,8,0,5.8%,0,0,39.05913563,-120.7536328,2020-04-25 22:55 EDT,06,061,380.077,0.3657153682017065
Santa Cruz,California,115,0,2,0,1.7%,48,0,36.97424,-122.03098,2020-04-25 22:55 EDT,06,087,273.765,0.420068306759447
Merced,California,102,0,3,0,2.9%,16,0,37.19187429,-120.717739,2020-04-25 22:55 EDT,06,047,269.075,0.37907646566942305
Napa,California,60,2,2,0,3.3%,0,0,38.50647693,-122.3306091,2020-04-25 22:55 EDT,06,055,140.530,0.4269550985554686
Humboldt,California,53,0,0,0,0%,50,0,40.69879803,-123.8737147,2020-04-25 22:55 EDT,06,023,135.768,0.39037181073596133
Kings,California,47,0,1,0,2.1%,0,0,36.075430705,-119.815354141,2020-04-25 22:55 EDT,06,031,150.075,0.3131767449608529
San Benito,California,47,0,2,0,4.3%,40,0,36.50506,-121.08332,2020-04-25 22:55 EDT,06,069,59.416,0.7910327184596742
Sutter,California,44,0,3,0,6.8%,34,2,39.0346753900001,-121.694845711,2020-04-25 22:55 EDT,06,101,95.872,0.45894526034712946
El Dorado,California,42,0,0,0,0%,16,0,38.68217,-120.84683,2020-04-25 22:55 EDT,06,017,186.661,0.2250068305644993
Madera,California,40,1,2,0,5%,11,0,36.96205,-120.06399,2020-04-25 22:55 EDT,06,039,155.013,0.2580428738234858
Nevada,California,37,0,1,0,2.7%,0,0,39.2616,-121.0161,2020-04-25 22:55 EDT,06,057,99.092,0.3733903846930125
Shasta,California,30,0,4,0,13.3%,6,0,40.59828,-122.49095,2020-04-25 22:55 EDT,06,089,179.085,0.16751821760616467
Mono,California,24,0,1,0,4.2%,0,0,37.93749777,-118.8838882,2020-04-25 22:55 EDT,06,051,14.174,1.6932411457598417
Inyo,California,19,0,1,0,5.3%,0,0,36.511060297,-117.41059195,2020-04-25 22:55 EDT,06,027,18.085,1.0505944152612663
Butte,California,16,0,0,0,0%,0,0,39.66709143,-121.600911,2020-04-25 22:55 EDT,06,007,227.075,0.07046130133215898
Yuba,California,16,0,1,0,6.3%,0,0,39.26918299,-121.3512653,2020-04-25 22:55 EDT,06,115,75.493,0.2119401798842277
Calaveras,California,13,0,0,0,0%,2,0,38.20473567,-120.5540655,2020-04-25 22:55 EDT,06,009,45.235,0.2873880844478833
Mendocino,California,11,0,0,0,0%,4,0,39.44024063,-123.3912784,2020-04-25 22:55 EDT,06,045,87.422,0.12582645100775547
Amador,California,8,0,0,0,0%,3,0,38.44606535,-120.651755,2020-04-25 22:55 EDT,06,005,37.829,0.21147796663935076
Lake,California,6,0,0,0,0%,0,0,39.102653429,-122.75089742799999,2020-04-25 22:55 EDT,06,033,64.148,0.0935337033110931
Glenn,California,5,0,0,0,0%,2,0,39.598279844000004,-122.392389048,2020-04-25 22:55 EDT,06,021,27.897,0.179230741656809
Siskiyou,California,5,0,0,0,0%,3,0,41.59256366,-122.5407772,2020-04-25 22:55 EDT,06,093,43.540,0.1148369315571888
Plumas,California,4,0,0,0,0%,0,0,40.0007023550001,-120.83349825399999,2020-04-25 22:55 EDT,06,063,18.699,0.21391518263008716
Colusa,California,3,0,0,0,0%,0,0,39.1775976810001,-122.237102265,2020-04-25 22:55 EDT,06,011,21.464,0.13976891539321654
Tuolumne,California,3,1,0,0,0%,0,0,38.0276436720001,-119.954653631,2020-04-25 22:55 EDT,06,109,53.932,0.055625602610694956
Alpine,California,2,0,0,0,0%,1,0,38.597333049,-119.820421252,2020-04-25 22:55 EDT,06,003,1.146,1.7452006980802794
Del Norte,California,2,0,0,0,0%,2,0,41.743175752000106,-123.897110706,2020-04-25 22:55 EDT,06,015,27.424,0.07292882147024504
Tehama,California,1,0,1,0,100%,0,0,40.125696943,-122.233915293,2020-04-25 22:55 EDT,06,103,63.373,0.015779590677417826
Cook,Illinois,29058,1442,1267,47,4.4%,2,0,41.84014932,-87.81682325,2020-04-25 22:55 EDT,17,031,5223.719,5.562703506831053
Lake,Illinois,2879,162,115,10,4%,0,0,42.32327645,-88.00353452,2020-04-25 22:55 EDT,17,097,703.619,4.091703038149908
DuPage,Illinois,2311,92,127,2,5.5%,100,0,41.85194049,-88.08561127,2020-04-25 22:55 EDT,17,043,931.743,2.480297678651731
Will,Illinois,2060,51,131,6,6.4%,0,0,41.44505655,-87.97865231,2020-04-25 22:55 EDT,17,197,688.697,2.9911557622582934
Kane,Illinois,1049,87,38,0,3.6%,0,0,41.93887565,-88.42863925,2020-04-25 22:55 EDT,17,089,530.839,1.9761170524396283
McHenry,Illinois,502,43,28,1,5.6%,0,0,42.32621,-88.26731,2020-04-25 22:55 EDT,17,111,307.789,1.630987462190007
St. Clair,Illinois,363,13,24,5,6.6%,0,0,38.46996471,-89.92749975,2020-04-25 22:55 EDT,17,163,263.463,1.3778025756937409
Winnebago,Illinois,302,23,8,1,2.6%,0,0,42.26568,-89.24139,2020-04-25 22:55 EDT,17,201,286.174,1.0553020190513462
Kankakee,Illinois,299,2,23,2,7.7%,59,0,41.13771418,-87.86181763,2020-04-25 22:55 EDT,17,091,111.061,2.692214188599058
Rock Island,Illinois,293,23,6,0,2%,0,0,41.51196,-90.57607,2020-04-25 22:55 EDT,17,161,145.275,2.0168645672001375
Madison,Illinois,280,12,16,1,5.7%,72,0,38.83006224,-89.9017802,2020-04-25 22:55 EDT,17,119,265.670,1.0539390973764444
Kendall,Illinois,203,12,5,0,2.5%,76,0,41.59058793,-88.42880574,2020-04-25 22:55 EDT,17,093,124.626,1.6288735897806235
Champaign,Illinois,102,0,5,0,4.9%,62,0,40.1142,-88.2435,2020-04-25 22:55 EDT,17,019,209.448,0.48699438524120553
Macon,Illinois,100,1,11,1,11%,0,0,39.860005958,-88.961581688,2020-04-25 22:55 EDT,17,115,106.512,0.9388613489559862
Sangamon,Illinois,95,14,6,0,6.3%,31,0,39.75815792,-89.65888740000004,2020-04-25 22:55 EDT,17,167,197.661,0.4806208609690329
McLean,Illinois,88,1,3,0,3.4%,73,0,40.4908761,-88.84731521,2020-04-25 22:55 EDT,17,113,173.219,0.5080274103880059
Ogle,Illinois,85,10,1,0,1.2%,0,0,42.04264493,-89.320671513,2020-04-25 22:55 EDT,17,141,51.328,1.6560162094763091
Clinton,Illinois,82,9,1,0,1.2%,11,0,40.1536,-88.9645,2020-04-25 22:55 EDT,17,027,37.628,2.1792282342936113
Jefferson,Illinois,80,0,2,0,2.5%,0,0,38.300505205,-88.92399427,2020-04-25 22:55 EDT,17,081,38.169,2.0959417328198273
Randolph,Illinois,79,0,1,0,1.3%,35,0,38.054123317000105,-89.823777353,2020-04-25 22:55 EDT,17,157,32.546,2.4273336201069258
