County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update,STATEFP,COUNTYFP
New York,New York,183710,2686.0,19474,276,10.6%,0,0,40.71455,-74.00714,2020-05-06 22:20 EDT,36,500
Suffolk,New York,38985,1448.0,1522,226,3.9%,3056,85,40.87732808,-72.85898036,2020-05-06 22:20 EDT,36,103
Nassau,New York,37350,385.0,1891,73,5.1%,3007,0,40.74165225,-73.58899619,2020-05-06 22:20 EDT,36,059
Westchester,New York,30426,329.0,1167,51,3.8%,9371,0,41.16319759,-73.7560629,2020-05-06 22:20 EDT,36,119
Rockland,New York,12204,109.0,551,0,4.5%,0,0,41.152374,-74.02401032,2020-05-06 22:20 EDT,36,087
Orange,New York,9516,234.0,358,4,3.8%,0,0,41.40206825,-74.30559567,2020-05-06 22:20 EDT,36,071
Erie,New York,4008,206.0,323,15,8.1%,479,0,42.76382119,-78.73224973,2020-05-06 22:20 EDT,36,029
Dutchess,New York,3192,61.0,40,0,1.3%,793,0,41.76477515,-73.74281684,2020-05-06 22:20 EDT,36,027
Monroe,New York,1655,60.0,137,9,8.3%,820,94,43.14604282,-77.69674911,2020-05-06 22:20 EDT,36,055
Ulster,New York,1416,2.0,49,5,3.5%,604,22,41.95986,-73.99033,2020-05-06 22:20 EDT,36,111
Albany,New York,1321,34.0,53,4,4.0%,664,43,42.65155,-73.75520999999998,2020-05-06 22:20 EDT,36,001
Putnam,New York,1196,52.0,7,0,0.6%,0,0,41.42653455,-73.7494999,2020-05-06 22:20 EDT,36,079
Onondaga,New York,1178,90.0,41,4,3.5%,632,13,43.004870000000004,-76.1836,2020-05-06 22:20 EDT,36,067
Sullivan,New York,996,20.0,23,0,2.3%,536,0,41.71631354,-74.76811083,2020-05-06 22:20 EDT,36,105
Oneida,New York,579,29.0,18,0,3.1%,221,25,43.24306498,-75.42583597,2020-05-06 22:20 EDT,36,065
Schenectady,New York,551,16.0,28,0,5.1%,367,0,42.81238,-73.94122,2020-05-06 22:20 EDT,36,093
Niagara,New York,549,20.0,28,0,5.1%,255,0,43.19998147,-78.74522262,2020-05-06 22:20 EDT,36,063
Saratoga,New York,371,4.0,11,0,3.0%,121,0,43.06974,-73.63661,2020-05-06 22:20 EDT,36,091
Rensselaer,New York,347,36.0,23,0,6.6%,146,0,42.71086263,-73.5097379,2020-05-06 22:20 EDT,36,083
Broome,New York,345,11.0,23,1,6.7%,225,4,42.16021802,-75.81964586,2020-05-06 22:20 EDT,36,007
Columbia,New York,305,79.0,16,0,5.2%,113,11,42.25001078,-73.63186134,2020-05-06 22:20 EDT,36,021
Madison,New York,257,11.0,6,0,2.3%,128,8,42.91290749,-75.66978904,2020-05-06 22:20 EDT,36,053
Steuben,New York,239,0.0,37,0,15.5%,104,0,42.26782685,-77.38382596,2020-05-06 22:20 EDT,36,101
Greene,New York,206,34.0,10,0,4.9%,121,5,42.27654571,-74.12261588,2020-05-06 22:20 EDT,36,039
Warren,New York,193,1.0,0,0,0.0%,0,0,43.5592099,-73.85881158,2020-05-06 22:20 EDT,36,113
Washington,New York,189,1.0,8,0,4.2%,75,0,43.31227113,-73.43096234,2020-05-06 22:20 EDT,36,115
St. Lawrence,New York,185,0.0,0,0,0.0%,0,0,44.17727,-76.16771999999997,2020-05-06 22:20 EDT,36,089
Genesee,New York,162,3.0,3,0,1.9%,88,2,43.00094016,-78.1936949,2020-05-06 22:20 EDT,36,037
Tompkins,New York,133,0.0,0,0,0.0%,106,0,42.44933495,-76.47064359,2020-05-06 22:20 EDT,36,109
Chemung,New York,128,2.0,1,0,0.8%,10,0,42.1411881,-76.76001059999999,2020-05-06 22:20 EDT,36,015
Clinton,New York,112,38.0,4,0,3.6%,94,39,44.7904,-73.6006,2020-05-06 22:20 EDT,36,019
Tioga,New York,107,0.0,14,0,13.1%,32,0,42.06057,-76.34519,2020-05-06 22:20 EDT,36,107
Orleans,New York,103,1.0,14,0,13.6%,36,0,43.252100586000005,-78.23124678499991,2020-05-06 22:20 EDT,36,073
Chenango,New York,102,2.0,0,0,0.0%,0,0,42.49349443,-75.61153709999998,2020-05-06 22:20 EDT,36,017
Fulton,New York,100,16.0,0,0,0.0%,0,0,43.11240266,-74.43516277,2020-05-06 22:20 EDT,36,035
Ontario,New York,99,7.0,9,0,9.1%,47,0,42.85288942,-77.29981098,2020-05-06 22:20 EDT,36,069
Livingston,New York,91,6.0,6,0,6.6%,51,7,42.72808354,-77.77543855,2020-05-06 22:20 EDT,36,051
Wayne,New York,76,0.0,2,0,2.6%,49,0,42.474131,-77.09816,2020-05-06 22:20 EDT,36,117
Delaware,New York,74,2.0,4,0,5.4%,49,4,42.19804334,-74.96635196,2020-05-06 22:20 EDT,36,025
Oswego,New York,70,3.0,3,0,4.3%,56,0,43.436525700000004,-76.14924403,2020-05-06 22:20 EDT,36,075
Wyoming,New York,70,1.0,5,0,7.1%,51,0,42.70242659,-78.22443261,2020-05-06 22:20 EDT,36,121
Herkimer,New York,68,5.0,3,0,4.4%,0,0,43.0259,-74.98433,2020-05-06 22:20 EDT,36,043
Otsego,New York,67,0.0,4,0,6.0%,57,0,42.63373751,-75.03256231,2020-05-06 22:20 EDT,36,077
Jefferson,New York,63,0.0,0,0,0.0%,9,0,44.04103424,-75.91225529,2020-05-06 22:20 EDT,36,045
Montgomery,New York,63,7.0,1,0,1.6%,43,0,42.90229179999999,-74.43960085,2020-05-06 22:20 EDT,36,057
Cattaraugus,New York,54,1.0,0,0,0.0%,0,0,42.2485958350001,-78.678812022,2020-05-06 22:20 EDT,36,009
Cayuga,New York,54,2.0,1,0,1.9%,50,0,42.92145204,-76.54917489,2020-05-06 22:20 EDT,36,011
Seneca,New York,46,1.0,0,0,0.0%,0,0,42.790068356999996,-76.822922724,2020-05-06 22:20 EDT,36,099
Schoharie,New York,45,0.0,0,0,0.0%,0,0,42.58820746,-74.44213588,2020-05-06 22:20 EDT,36,095
Chautauqua,New York,38,1.0,4,0,10.5%,31,2,42.22826274,-79.36643298,2020-05-06 22:20 EDT,36,013
Allegany,New York,35,35.0,0,0,0.0%,31,3,42.25739788,-78.02755444,2020-05-06 22:20 EDT,36,003
Cortland,New York,33,1.0,0,0,0.0%,31,0,42.59500111,-76.07023743,2020-05-06 22:20 EDT,36,023
Essex,New York,30,1.0,0,0,0.0%,8,0,44.10755697,-73.79125847,2020-05-06 22:20 EDT,36,031
Yates,New York,19,0.0,1,0,5.3%,2,0,42.633345773,-77.11807677899999,2020-05-06 22:20 EDT,36,123
Franklin,New York,16,0.0,0,0,0.0%,4,0,44.592675381999996,-74.3034218499999,2020-05-06 22:20 EDT,36,033
Lewis,New York,9,0.0,0,0,0.0%,5,0,43.78473386600009,-75.448706117,2020-05-06 22:20 EDT,36,049
Schuyler,New York,8,0.0,0,0,0.0%,6,0,42.370638971999995,-76.9851275,2020-05-06 22:20 EDT,36,097
Hamilton,New York,5,2.0,0,0,0.0%,0,0,43.66130373,-74.49733573,2020-05-06 22:20 EDT,36,041
Bergen,New Jersey,16520,238.0,1289,28,7.8%,0,0,40.95949149,-74.074442,2020-05-06 22:20 EDT,34,003
Hudson,New Jersey,16197,316.0,903,33,5.6%,314,0,40.74034231,-74.07410970000002,2020-05-06 22:20 EDT,34,017
Essex,New Jersey,14951,330.0,1349,30,9.0%,60,0,40.78779259,-74.24760059,2020-05-06 22:20 EDT,34,013
Passaic,New Jersey,13971,475.0,690,27,4.9%,0,0,40.86034,-74.12374,2020-05-06 22:20 EDT,34,031
Union,New Jersey,13604,247.0,800,32,5.9%,151,0,40.69635,-74.26957,2020-05-06 22:20 EDT,34,039
Middlesex,New Jersey,13254,486.0,706,39,5.3%,0,0,40.57936,-74.50067,2020-05-06 22:20 EDT,34,023
Ocean,New Jersey,7125,151.0,483,14,6.8%,0,0,39.90927434,-74.2969653,2020-05-06 22:20 EDT,34,029
Monmouth,New Jersey,6552,174.0,417,19,6.4%,0,0,40.2600411,-74.22194634,2020-05-06 22:20 EDT,34,025
Morris,New Jersey,5655,106.0,491,17,8.7%,1,0,40.86201902,-74.5442741,2020-05-06 22:20 EDT,34,027
Mercer,New Jersey,4860,266.0,298,18,6.1%,12,0,40.28331911,-74.70157374,2020-05-06 22:20 EDT,34,021
Camden,New Jersey,4307,234.0,189,9,4.4%,0,0,39.94525,-75.11913,2020-05-06 22:20 EDT,34,007
Somerset,New Jersey,3860,107.0,315,9,8.2%,0,0,40.49859,-74.52249,2020-05-06 22:20 EDT,34,035
