State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,83948,7897,1941,227,2.3%,State of Emergency,75795,129391,,205186,3/29 09:16,36,42.165726,-74.948051,2020-04-01 15:53 EDT
New Jersey,22255,3258,355,82,1.6%,State of Emergency,18696,27077,,45773,3/31 13:00,34,40.298904,-74.521011,2020-04-01 15:53 EDT
Michigan,9334,1720,337,78,3.6%,State of Emergency,7615,11893,,19508,3/31 11:00,26,43.326617999999996,-84.53609499999999,2020-04-01 15:53 EDT
California,8813,155,187,4,2.1%,State of Emergency,8520,21772,57400,87692,3/31 16:00,06,36.116203000000006,-119.681564,2020-04-01 15:53 EDT
Florida,6955,214,87,2,1.3%,State of Emergency,6741,56644,1261,64646,3/31 18:30,12,27.766278999999997,-81.68678299999999,2020-04-01 15:53 EDT
Massachusetts,6620,0,89,0,1.3%,State of Emergency,6620,40315,,46935,3/31 12:30,25,42.230171,-71.530106,2020-04-01 15:53 EDT
Louisiana,6424,1187,273,39,4.2%,State of Emergency,5237,33730,,38967,3/31 13:00,22,31.169546,-91.867805,2020-04-01 15:53 EDT
Pennsylvania,6009,1019,74,8,1.2%,State of Emergency,4843,37645,,42488,3/31 12:00,42,40.590752,-77.209755,2020-04-01 15:53 EDT
Illinois,5998,0,100,0,1.7%,State of Emergency,5994,29231,,35225,3/31 00:00,17,40.349457,-88.986137,2020-04-01 15:53 EDT
Washington,5514,59,226,1,4.1%,State of Emergency,4896,60566,,65462,3/31 00:00,53,47.400902,-121.490494,2020-04-01 15:53 EDT
Georgia,4638,528,139,15,3%,State of Emergency,4117,12253,,16370,3/31 18:28,13,33.040619,-83.643074,2020-04-01 15:53 EDT
Texas,4080,146,66,8,1.6%,State of Emergency,3266,39726,,42992,3/31 13:45,48,31.054486999999998,-97.563461,2020-04-01 15:53 EDT
Connecticut,3128,0,69,0,2.2%,State of Emergency,3128,13029,,16157,3/31 13:30,09,41.597782,-72.755371,2020-04-01 15:53 EDT
Colorado,2982,14,69,0,2.3%,State of Emergency,2966,13883,,16849,3/31 18:00,08,39.059810999999996,-105.311104,2020-04-01 15:53 EDT
Indiana,2565,406,65,16,2.5%,State of Emergency,2159,11214,,13373,3/31 00:59,18,39.849426,-86.258278,2020-04-01 15:53 EDT
Ohio,2547,349,65,10,2.6%,State of Emergency,2199,26992,,29191,3/31 14:00,39,40.388783000000004,-82.764915,2020-04-01 15:53 EDT
Tennessee,2534,143,24,0,0.9%,State of Emergency,2239,25121,,27360,3/31 15:00,47,35.747845,-86.69234499999999,2020-04-01 15:53 EDT
Maryland,1986,326,31,12,1.6%,State of Emergency,1985,17233,,19218,4/01 10:00,24,39.063946,-76.80210100000001,2020-04-01 15:53 EDT
North Carolina,1657,93,14,2,0.8%,State of Emergency,1498,21608,,23106,3/31 09:05,37,35.630066,-79.80641899999999,2020-04-01 15:53 EDT
Missouri,1581,174,18,3,1.1%,State of Emergency,1327,14614,,15941,3/31 15:00,29,38.456084999999995,-92.288368,2020-04-01 15:53 EDT
Wisconsin,1555,142,28,2,1.8%,State of Emergency,1351,17375,,18726,3/31 16:00,55,44.268543,-89.616508,2020-04-01 15:53 EDT
Virginia,1484,236,34,7,2.3%,State of Emergency,1484,13860,,15344,4/01 00:00,51,37.769337,-78.16996800000001,2020-04-01 15:53 EDT
Arizona,1413,124,29,5,2.1%,State of Emergency,1289,18082,,19371,3/31 00:00,04,33.729759,-111.431221,2020-04-01 15:53 EDT
Nevada,1141,0,26,0,2.3%,State of Emergency,1113,10681,,11794,3/31 09:30,32,38.313515,-117.055374,2020-04-01 15:53 EDT
South Carolina,1083,0,22,0,2%,State of Emergency,1083,4616,,5699,3/31 16:31,45,33.856891999999995,-80.94500699999999,2020-04-01 15:53 EDT
Mississippi,1073,0,22,0,2.1%,State of Emergency,937,3517,,4454,3/30 19:00,28,32.741646,-89.678696,2020-04-01 15:53 EDT
Alabama,1060,62,27,12,2.5%,State of Emergency,999,6298,,7297,4/01 00:00,01,32.806671,-86.79113000000001,2020-04-01 15:53 EDT
Utah,888,0,5,0,0.6%,State of Emergency,887,17626,,18513,3/31 15:00,49,40.150032,-111.86243400000001,2020-04-01 15:53 EDT
Oklahoma,721,153,30,7,4.2%,State of Emergency,565,1229,,1794,3/31 08:00,40,35.565342,-96.928917,2020-04-01 15:53 EDT
Oregon,692,0,18,0,2.6%,State of Emergency,690,13136,,13826,3/31 11:00,41,44.572021,-122.07093799999998,2020-04-01 15:53 EDT
Kentucky,632,0,18,0,2.8%,State of Emergency,591,6965,,7556,3/31 17:00,21,37.66814,-84.670067,2020-04-01 15:53 EDT
Minnesota,629,0,12,0,1.9%,State of Emergency,629,19151,,19780,4/01 00:00,27,45.694454,-93.900192,2020-04-01 15:53 EDT
